Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR16841617_trimmed_val_1 - polya	(1, 0.002442247483555976)	(2, 0.006091460752463529)	(3, 0.008609807251811466)	(4, 0.01208735529904878)	(5, 0.013959745036441694)	(6, 0.01546048841764131)	(7, 0.017964676960562836)	(8, 0.0221218069162679)	(9, 0.030804173694764726)	(10, 0.0416527078065025)	(11, 0.04497274858849599)	(12, 0.04777956345003206)	(13, 0.051842896944412145)	(14, 0.057375118418032424)	(15, 0.06132872775010782)	(16, 0.06573539168782838)	(17, 0.06915453816480675)	(18, 0.07226751883406397)	(19, 0.07510618909755946)	(20, 0.07955532690455927)	(21, 0.08368414094741151)	(22, 0.08778994831107083)	(23, 0.0919506177558825)	(24, 0.09585821372957205)	(25, 0.09990208003386583)	(26, 0.10730492150032572)	(27, 0.11182484908945758)	(28, 0.11831450236641393)	(29, 0.12250879695773832)	(30, 0.1261633194603058)	(31, 0.1298957107232185)	(32, 0.1338369318434208)	(33, 0.1383073065850602)	(34, 0.14332453239366977)	(35, 0.14778428866798937)	(36, 0.1521290115463444)	(37, 0.15651620829397864)	(38, 0.16049813353890685)	(39, 0.16402523443363662)	(40, 0.16804255456963085)	(41, 0.17159089239900024)	(42, 0.17617984002571085)	(43, 0.18055641830602528)	(44, 0.18433128343821725)	(45, 0.18851672930677513)	(46, 0.19276234649014526)	(47, 0.19625228274925569)	(48, 0.199230762832462)	(49, 0.20214553211174946)	(50, 0.20555052063230142)	(51, 0.211196005757333)	(52, 0.22106764087564837)	(53, 0.22512035590270865)	(54, 0.22879965482902231)	(55, 0.2322329592624271)	(56, 0.23563971752753235)	(57, 0.23922168050341447)	(58, 0.2427399326753777)	(59, 0.24588122925748773)	(60, 0.2489375781010393)	(61, 0.2523744220235507)	(62, 0.2558094962015088)	(63, 0.2585295935799331)	(64, 0.2611576642415857)	(65, 0.2611576642415857)
SRR16841617_trimmed_val_2 - polya	(1, 0.01523927034847863)	(2, 0.02045470754705795)	(3, 0.022757145210903114)	(4, 0.026409897968917267)	(5, 0.02901673169593028)	(6, 0.03134217603896836)	(7, 0.03388883845116912)	(8, 0.04150227951947188)	(9, 0.05211897709472717)	(10, 0.06343826325764312)	(11, 0.0666167244753725)	(12, 0.07011904894635604)	(13, 0.07488320128384349)	(14, 0.07994821019539218)	(15, 0.08694047092548614)	(16, 0.09575910803458718)	(17, 0.10176739079304555)	(18, 0.1081313922067175)	(19, 0.11321586830835251)	(20, 0.11931440803902923)	(21, 0.1255439088666503)	(22, 0.13060006905543248)	(23, 0.1352244115732091)	(24, 0.14044161851634174)	(25, 0.1446040577057067)	(26, 0.1514034162794908)	(27, 0.15605253522101367)	(28, 0.1608945563188464)	(29, 0.16501629138348542)	(30, 0.16952206101619086)	(31, 0.17417471944682034)	(32, 0.17817080264817495)	(33, 0.18286239545897706)	(34, 0.18745665231934758)	(35, 0.19244379247055102)	(36, 0.19687346308746448)	(37, 0.20091555964720495)	(38, 0.2055098165075755)	(39, 0.20990586197797623)	(40, 0.2159247632037544)	(41, 0.22046061849386597)	(42, 0.22486551268703325)	(43, 0.22954825677506882)	(44, 0.2339655391801092)	(45, 0.2403844026749335)	(46, 0.24621571097806172)	(47, 0.2522894742849922)	(48, 0.257554464331064)	(49, 0.26270265123661785)	(50, 0.26802604285294857)	(51, 0.2724574832144154)	(52, 0.27713137857968445)	(53, 0.28370774933975257)	(54, 0.29154240847721796)	(55, 0.2986939462171091)	(56, 0.30457480736772974)	(57, 0.30980086303362886)	(58, 0.31483932577687807)	(59, 0.32024589538721393)	(60, 0.32548964849864603)	(61, 0.33019185977676796)	(62, 0.3346215303936814)	(63, 0.3389202399136506)	(64, 0.34290570464768544)	(65, 0.34290570464768544)
SRR16841617_trimmed_val_2 - polyg	(1, 0.15934072060104773)	(2, 0.1604255740122215)	(3, 0.1611600180018416)	(4, 0.16167855315595892)	(5, 0.16236344429808658)	(6, 0.1631439016460925)	(7, 0.16403054366729652)	(8, 0.16498443598152598)	(9, 0.1666975487091218)	(10, 0.16793283040732618)	(11, 0.16902122330760655)	(12, 0.1703042881087501)	(13, 0.1712935753140456)	(14, 0.17223684916095525)	(15, 0.17342080826711392)	(16, 0.17441186521696272)	(17, 0.1754949488835832)	(18, 0.176503703278965)	(19, 0.17738149657740251)	(20, 0.1782079672837943)	(21, 0.1791990242336431)	(22, 0.18025379198741073)	(23, 0.1813103294857317)	(24, 0.18218635303961592)	(25, 0.18338270035764767)	(26, 0.18462506103406529)	(27, 0.18601961974206682)	(28, 0.18747611950943388)	(29, 0.18880165817985667)	(30, 0.19007056502457378)	(31, 0.1915695386612201)	(32, 0.19290392605440937)	(33, 0.19445776177220803)	(34, 0.19594788668608784)	(35, 0.19781319744526754)	(36, 0.19934402648387328)	(37, 0.20093679658184457)	(38, 0.20349407746136514)	(39, 0.2055275139531085)	(40, 0.20740875241326792)	(41, 0.20958199872472208)	(42, 0.21138005919087632)	(43, 0.21337810079155364)	(44, 0.21524872078439325)	(45, 0.21727861778703)	(46, 0.21917755369272243)	(47, 0.22103932496279555)	(48, 0.22298604397142713)	(49, 0.22478587418213467)	(50, 0.2266777311096139)	(51, 0.22856073931432663)	(52, 0.23071982766935437)	(53, 0.23403986845134786)	(54, 0.23639362870723876)	(55, 0.23950837912104928)	(56, 0.24159667769394497)	(57, 0.24389026663502364)	(58, 0.24621571097806172)	(59, 0.24825799619257158)	(60, 0.25044893994955875)	(61, 0.2530079905736326)	(62, 0.2553599810849702)	(63, 0.25769604389532813)	(64, 0.2599117640760615)	(65, 0.2617292917323021)
SRR16841618_trimmed_val_1 - polya	(1, 0.0021191908180282926)	(2, 0.0057558055033027035)	(3, 0.008126455133617495)	(4, 0.0112740257839623)	(5, 0.012871222791657928)	(6, 0.014289797332694872)	(7, 0.016580673822560153)	(8, 0.020338682417214253)	(9, 0.028024651079654017)	(10, 0.036893343259193044)	(11, 0.03977558150760795)	(12, 0.0422936380278838)	(13, 0.04576550383614292)	(14, 0.05048425851360199)	(15, 0.05383646461118684)	(16, 0.05749388968092634)	(17, 0.060473243056845004)	(18, 0.06338843108066297)	(19, 0.06592209538928763)	(20, 0.06950841831210475)	(21, 0.07316931177925509)	(22, 0.07704524588587804)	(23, 0.08085701464040028)	(24, 0.08442772977486858)	(25, 0.08830366388149152)	(26, 0.0952005721329633)	(27, 0.0995551450822833)	(28, 0.10549304144965554)	(29, 0.10945741969025512)	(30, 0.11296570367132815)	(31, 0.11627108640386655)	(32, 0.1196232925014514)	(33, 0.12359287333816724)	(34, 0.12780177359623163)	(35, 0.1315580479921803)	(36, 0.134970951044455)	(37, 0.1389179872980003)	(38, 0.14233089035027502)	(39, 0.14555476574365847)	(40, 0.14898501078298743)	(41, 0.15194875637055727)	(42, 0.1558090826888314)	(43, 0.15949945753397396)	(44, 0.1628291190483883)	(45, 0.1663148584462908)	(46, 0.1700659302461232)	(47, 0.17332448961361516)	(48, 0.176059320972069)	(49, 0.17875599995900354)	(50, 0.18153245208638757)	(51, 0.18595465878521913)	(52, 0.19341344741724834)	(53, 0.19698589675042205)	(54, 0.2003311660531852)	(55, 0.2035272942672819)	(56, 0.2065187870341385)	(57, 0.20977734640163045)	(58, 0.21294052484032408)	(59, 0.2158869284408397)	(60, 0.2187969138685414)	(61, 0.22190633214736685)	(62, 0.22485100154917703)	(63, 0.22751473076070852)	(64, 0.2298125440453955)	(65, 0.2298125440453955)
SRR16841618_trimmed_val_2 - illumina_universal_adapter	(1, 2.4278781875937886e-05)	(2, 2.4278781875937886e-05)	(3, 2.601298058136202e-05)	(4, 2.948137799221029e-05)	(5, 3.641817281390683e-05)	(6, 3.815237151933097e-05)	(7, 3.98865702247551e-05)	(8, 4.162076893017924e-05)	(9, 4.162076893017924e-05)	(10, 4.162076893017924e-05)	(11, 4.50891663410275e-05)	(12, 4.682336504645164e-05)	(13, 5.029176245729991e-05)	(14, 5.202596116272404e-05)	(15, 6.069695468984472e-05)	(16, 6.763374951154126e-05)	(17, 7.45705443332378e-05)	(18, 7.45705443332378e-05)	(19, 7.630474303866194e-05)	(20, 8.150733915493434e-05)	(21, 9.364673009290328e-05)	(22, 9.538092879832742e-05)	(23, 0.0008896439358825811)	(24, 0.001597197007695628)	(25, 0.0022405847274079823)	(26, 0.002870098857476943)	(27, 0.0034406502315614835)	(28, 0.0040164042017622964)	(29, 0.004696210094288557)	(30, 0.005310116436008701)	(31, 0.005936162168666813)	(32, 0.0065500685103869576)	(33, 0.007217735011975249)	(34, 0.007930490679904569)	(35, 0.008612030771136253)	(36, 0.009411496374336779)	(37, 0.01014159402932034)	(38, 0.011017364375559528)	(39, 0.01193648968943432)	(40, 0.012952730130812863)	(41, 0.014140656244028394)	(42, 0.015408355497693437)	(43, 0.016908437377885315)	(44, 0.01849696339205382)	(45, 0.020279719661229833)	(46, 0.022256706185413346)	(47, 0.024601342835146776)	(48, 0.02720264089328298)	(49, 0.030093550135225012)	(50, 0.03327753895838372)	(51, 0.036787557138162175)	(52, 0.04089413967260652)	(53, 0.0454117273002364)	(54, 0.05061258921780337)	(55, 0.05659730895022207)	(56, 0.06313176967226021)	(57, 0.07091138506479287)	(58, 0.07966388593106848)	(59, 0.08931817012416464)	(60, 0.10038582626218147)	(61, 0.11246972284157684)	(62, 0.12603115671799356)	(63, 0.12628955232510178)	(64, 0.12628955232510178)	(65, 0.12628955232510178)
SRR16841618_trimmed_val_2 - polya	(1, 0.016438469528715374)	(2, 0.022196009230723502)	(3, 0.024453935945185724)	(4, 0.027960485727553327)	(5, 0.03035714833844948)	(6, 0.03260813825809001)	(7, 0.03529267785408657)	(8, 0.042999456900991426)	(9, 0.05423706451213982)	(10, 0.06597585554915579)	(11, 0.0690523240525782)	(12, 0.0723646435799383)	(13, 0.07718051338490112)	(14, 0.08236403331541386)	(15, 0.08978466957592374)	(16, 0.09892042835609807)	(17, 0.10495023725485779)	(18, 0.11106328769147787)	(19, 0.11589823368220036)	(20, 0.12220898277123877)	(21, 0.1286844807372925)	(22, 0.13398939457718492)	(23, 0.138650920697365)	(24, 0.14397317652431166)	(25, 0.14816126639791097)	(26, 0.15557670006230456)	(27, 0.1603301387138721)	(28, 0.16540440412594312)	(29, 0.169533531243558)	(30, 0.17413436040904823)	(31, 0.1788461782916856)	(32, 0.18291981105072688)	(33, 0.18790216393141043)	(34, 0.1924925879046681)	(35, 0.19758246110508795)	(36, 0.20209658033530697)	(37, 0.2061147187357747)	(38, 0.21075370027278426)	(39, 0.21523313552889478)	(40, 0.2215993789765068)	(41, 0.2264846167296866)	(42, 0.2311999030097348)	(43, 0.23590825249496133)	(44, 0.240396358744599)	(45, 0.24699671901744324)	(46, 0.2529380837822263)	(47, 0.25935635319100103)	(48, 0.2649300678302342)	(49, 0.2702211080804833)	(50, 0.27612952306986327)	(51, 0.2807355548314698)	(52, 0.28583583322412215)	(53, 0.2929044271474309)	(54, 0.301417608592358)	(55, 0.3087602059111238)	(56, 0.3149946502571236)	(57, 0.32046778137144216)	(58, 0.32573454283981523)	(59, 0.3315250323172264)	(60, 0.3368975799066304)	(61, 0.3416874367310119)	(62, 0.34621542955087425)	(63, 0.35029599910473724)	(64, 0.35443206301717384)	(65, 0.35443206301717384)
SRR16841618_trimmed_val_2 - polyg	(1, 0.15070360170006275)	(2, 0.15160365082817787)	(3, 0.15225570954141734)	(4, 0.15267885402554082)	(5, 0.15321298722681145)	(6, 0.1539361480869733)	(7, 0.1546159539794996)	(8, 0.1554223563775218)	(9, 0.15689815947583774)	(10, 0.15782942418065052)	(11, 0.15869999193077342)	(12, 0.15980641070483403)	(13, 0.16070472563424373)	(14, 0.1615007228400334)	(15, 0.16237475898756717)	(16, 0.16316381939853514)	(17, 0.1641002866994642)	(18, 0.16487547352078877)	(19, 0.16565759713693506)	(20, 0.1662940480618257)	(21, 0.16707443747926656)	(22, 0.16796754981256)	(23, 0.16883464916527208)	(24, 0.16957862040989902)	(25, 0.17055670847975823)	(26, 0.17147583379363301)	(27, 0.17248860583760073)	(28, 0.1735724800284908)	(29, 0.17461126505303987)	(30, 0.1755338587643255)	(31, 0.17678941862705258)	(32, 0.1778923690037023)	(33, 0.17908896611044497)	(34, 0.1803479943705829)	(35, 0.18182726586630968)	(36, 0.18304467335751742)	(37, 0.18438174055939943)	(38, 0.18639341105769144)	(39, 0.18796806348221654)	(40, 0.1893658276387884)	(41, 0.19104453198563895)	(42, 0.19253074027618744)	(43, 0.1941452792709373)	(44, 0.19570432390711362)	(45, 0.1973136603057472)	(46, 0.19873396904548957)	(47, 0.2001005176253638)	(48, 0.20159019431332312)	(49, 0.20300876885436006)	(50, 0.20454006631124957)	(51, 0.20604535078755773)	(52, 0.20772232093570286)	(53, 0.21027159303267634)	(54, 0.21229366872320088)	(55, 0.2147666360771357)	(56, 0.21648869539162185)	(57, 0.21830786983361178)	(58, 0.22024323558886513)	(59, 0.2219098005447777)	(60, 0.22363185985926387)	(61, 0.22563485936402874)	(62, 0.22741067883838306)	(63, 0.22917782731921027)	(64, 0.2306172122447123)	(65, 0.2306172122447123)
SRR16841619_trimmed_val_1 - polya	(1, 0.004819373625124857)	(2, 0.009555445149419325)	(3, 0.01289100010350286)	(4, 0.01686173357641812)	(5, 0.01915080588881988)	(6, 0.020901885466692038)	(7, 0.023956295830473005)	(8, 0.028711457419541103)	(9, 0.038735476886131374)	(10, 0.05008712358470598)	(11, 0.05374200325863935)	(12, 0.056973430586684894)	(13, 0.061371087326355905)	(14, 0.06754585555040857)	(15, 0.07212573563564605)	(16, 0.07656851434660018)	(17, 0.08060345985557221)	(18, 0.08398066586007094)	(19, 0.08726936338243738)	(20, 0.09179891511508984)	(21, 0.09660961143804486)	(22, 0.101569557358321)	(23, 0.10675858405588072)	(24, 0.1113228449972125)	(25, 0.1160519746797711)	(26, 0.12251309387542823)	(27, 0.12795549779634705)	(28, 0.1343281085098719)	(29, 0.1387153524869391)	(30, 0.14274856253547716)	(31, 0.1470195306634686)	(32, 0.15165668094302698)	(33, 0.15647605456815183)	(34, 0.16230546616584518)	(35, 0.16759167864770702)	(36, 0.1724457614815112)	(37, 0.17728422517140968)	(38, 0.1817131201988921)	(39, 0.1857706266935057)	(40, 0.1902446436922712)	(41, 0.19444966432377195)	(42, 0.19955538892050126)	(43, 0.20449798023643775)	(44, 0.20905703479646762)	(45, 0.21371674606166757)	(46, 0.2187183430323589)	(47, 0.22307434872161472)	(48, 0.22663204261124598)	(49, 0.23020709110521687)	(50, 0.23376825591571604)	(51, 0.23921239529706884)	(52, 0.24864462275567653)	(53, 0.25388571326625525)	(54, 0.2580473473869068)	(55, 0.26216385953627525)	(56, 0.2658760094045295)	(57, 0.27027019522333257)	(58, 0.2737619416164731)	(59, 0.2773161645852364)	(60, 0.2806708096040936)	(61, 0.28426668362327207)	(62, 0.2880256909232434)	(63, 0.29124323456781726)	(64, 0.2942108719098999)	(65, 0.2942108719098999)
SRR16841619_trimmed_val_2 - polya	(1, 0.01792036444113766)	(2, 0.02374804057839703)	(3, 0.026110002229025382)	(4, 0.030030407349355612)	(5, 0.03275508023068296)	(6, 0.03524893687429276)	(7, 0.037994435280827694)	(8, 0.04606779721963966)	(9, 0.05726672340002523)	(10, 0.06801442986757951)	(11, 0.07140031317424807)	(12, 0.07495800706387931)	(13, 0.07972705233641915)	(14, 0.0850948314586774)	(15, 0.09275341835377139)	(16, 0.10227936067581328)	(17, 0.10850619271288493)	(18, 0.1150332594050328)	(19, 0.12038889030425329)	(20, 0.12655151030526818)	(21, 0.13305601601177447)	(22, 0.13868758511999563)	(23, 0.14371000761589456)	(24, 0.14907778673815283)	(25, 0.1533851995352576)	(26, 0.15964674078100857)	(27, 0.16476634906120963)	(28, 0.17016189555041134)	(29, 0.17455434590878044)	(30, 0.17935462946913167)	(31, 0.18409937829559597)	(32, 0.18841720385530453)	(33, 0.19353681213550558)	(34, 0.19833362477498886)	(35, 0.2037708223146058)	(36, 0.20866655619882518)	(37, 0.21311280583064723)	(38, 0.21792176669316832)	(39, 0.22264742545485897)	(40, 0.2290460680748933)	(41, 0.2340754324125281)	(42, 0.23921760167837072)	(43, 0.24413589654823167)	(44, 0.24890320636033753)	(45, 0.2556367928441274)	(46, 0.2616866079169345)	(47, 0.2684514326885357)	(48, 0.2742791088257951)	(49, 0.279872497804469)	(50, 0.28606809155372925)	(51, 0.2911408424022132)	(52, 0.29620838686939527)	(53, 0.30348343700858266)	(54, 0.31221800937273586)	(55, 0.320284429469812)	(56, 0.3266622465646387)	(57, 0.3327085907165779)	(58, 0.3383228052204594)	(59, 0.34398214169562397)	(60, 0.34945751936478814)	(61, 0.3547749701344614)	(62, 0.35980606993253017)	(63, 0.36448487126250373)	(64, 0.36903177759949585)	(65, 0.36903177759949585)
SRR16841619_trimmed_val_2 - polyg	(1, 0.1431494538957234)	(2, 0.14409701529266908)	(3, 0.14475649025757634)	(4, 0.14527712838776627)	(5, 0.14595569341744716)	(6, 0.14669152864144894)	(7, 0.1474846340597716)	(8, 0.14828641678026414)	(9, 0.14960536671007862)	(10, 0.150620611063949)	(11, 0.15143801292834722)	(12, 0.15257994589389715)	(13, 0.1534459406504464)	(14, 0.15428590350048618)	(15, 0.1553514762069416)	(16, 0.15624176740956638)	(17, 0.15720494795041776)	(18, 0.15802929165655183)	(19, 0.1588588417439878)	(20, 0.15955823229887628)	(21, 0.16053876744406734)	(22, 0.1615071543662206)	(23, 0.16243215477752473)	(24, 0.1633849225557723)	(25, 0.1645147072982845)	(26, 0.16575209058770257)	(27, 0.16723417379830993)	(28, 0.16856874287203014)	(29, 0.16968985031237246)	(30, 0.1708769052492055)	(31, 0.172249654452473)	(32, 0.17357728168445732)	(33, 0.17497259187336636)	(34, 0.1765223580408984)	(35, 0.17811724617971358)	(36, 0.17966354142637772)	(37, 0.1813295834429855)	(38, 0.1838859166622181)	(39, 0.18562137709618456)	(40, 0.18745228785401918)	(41, 0.1894324482091749)	(42, 0.19120435331225466)	(43, 0.19290683999797575)	(44, 0.1946127976045648)	(45, 0.19636908356373883)	(46, 0.19817569787549794)	(47, 0.19997016396421924)	(48, 0.20185487399550683)	(49, 0.20363545640075642)	(50, 0.20552363735291193)	(51, 0.20724868502427457)	(52, 0.20900323552301467)	(53, 0.21148841486445463)	(54, 0.2136889786947241)	(55, 0.21605788218708832)	(56, 0.21796168228314952)	(57, 0.21988977882528626)	(58, 0.22193588667693273)	(59, 0.22388480874427705)	(60, 0.2258649690994328)	(61, 0.22793884431802272)	(62, 0.2300248677596504)	(63, 0.23199982173350422)	(64, 0.23364156730403648)	(65, 0.23364156730403648)
